rollout/exploration_rate,rollout/tel_total,rollout/steps,time/time_elapsed,rollout/tran_total,rollout/tran_mean,rollout/agents_survived,time/fps,time/total_timesteps,time/episodes,rollout/distance_travelled,rollout/ho_prob,rollout/ep_len_mean,rollout/tel_mean,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
0.9989929999999999,40.802122194170764,12,1,10.864599954506604,0.905383329542217,1,29,53,4,288.9587242930188,0.5,13.25,3.40017684951423,23.480340499999997,,,
0.9975680000000001,7.300525662524784,16,4,13.762257578771877,0.8601410986732423,1,28,128,8,357.4549612824497,0.6875,16.0,0.456282853907799,31.76697325,,,
0.996523,5.343363127482254,3,6,2.899377276125195,0.9664590920417316,1,28,183,12,99.67653541892383,0.6666666666666666,15.25,1.7811210424940846,29.523715916666664,,,
0.995516,1.8807374552894973,3,8,2.6189803374294356,0.8729934458098119,1,28,236,16,92.57145804347684,0.3333333333333333,14.75,0.6269124850964991,30.101611124999998,,,
0.994661,1.5597445285753073,11,9,9.571899092699542,0.8701726447908675,1,28,281,20,270.2415440618631,0.8181818181818182,14.05,0.14179495714320975,27.686841899999997,,,
0.992989,13.637110076433725,28,12,24.994417575003055,0.8926577705358234,1,29,369,24,652.5714023065698,0.7857142857142857,15.375,0.48703964558691876,28.465760791666668,,,
0.9918680000000001,118.46727954834468,6,14,5.732392987345861,0.9553988312243101,1,29,428,28,169.4001443764871,0.5,15.285714285714286,19.74454659139078,34.3224395,,,
0.990348,8.556426959614374,4,17,3.5990673189082654,0.8997668297270663,1,29,508,32,119.6732417063871,0.5,15.875,2.1391067399035935,36.980677156249996,2.033177375793457,0.05,7
0.988524,13.802899167883893,29,20,23.732671429353648,0.8183679803225395,1,28,604,36,587.9352186387721,0.8275862068965517,16.77777777777778,0.4759620402718584,37.64093724999999,1.781515121459961,0.05,103
0.986985,23.591359633854907,13,23,11.628443096190402,0.8944956227838771,1,28,685,40,307.94683276564837,0.5384615384615384,17.125,1.814719971834993,37.911527175,1.2651121616363525,0.05,184
0.9855599999999999,17.994289624231353,9,26,8.032824902495152,0.8925361002772392,1,28,760,44,223.9861448348017,0.5555555555555556,17.272727272727273,1.9993655138034836,37.16315370454546,1.3907989263534546,0.05,259
0.983831,23.9362534833834,29,30,23.727373756423443,0.818185301945636,1,28,851,48,575.7877147596585,0.7931034482758621,17.729166666666668,0.8253880511511518,37.896149937500006,1.549095869064331,0.05,350
0.982767,11.810661945802595,6,32,5.729230063859142,0.954871677309857,1,28,907,52,172.90315101270417,0.5,17.442307692307693,1.9684436576337658,37.80154923076923,1.8648655414581299,0.05,406
0.981684,4.061122829749922,7,34,6.26401202769544,0.8948588610993485,1,28,964,56,183.7095244567011,0.7142857142857143,17.214285714285715,0.5801604042499889,36.73913721428572,1.8820288181304932,0.05,463
0.980373,15.347515463897,16,36,12.763135105618835,0.7976959441011772,1,28,1033,60,337.4577581887814,0.5625,17.216666666666665,0.9592197164935625,35.92583908333334,2.1005778312683105,0.05,532
0.9787009999999999,25.146649976481566,29,39,21.870202354726334,0.7541449087836667,1,28,1121,64,533.7452396910151,0.8275862068965517,17.515625,0.8671258612579851,36.10322375,2.1904947757720947,0.05,620
0.977751,42.01917469044107,29,41,24.059210139252304,0.8296279358362864,1,28,1171,68,611.6263383852335,0.7931034482758621,17.220588235294116,1.4489370582910714,35.85127861764706,2.2954914569854736,0.05,670
0.9767250000000001,33.48244092112833,29,43,22.16911958742875,0.7644523995665086,1,28,1225,72,537.6175499206446,0.7241379310344828,17.01388888888889,1.15456692831477,35.49549566666667,2.069744110107422,0.05,724
0.9758129999999999,10.555938654111005,4,45,3.932710610238159,0.9831776525595397,1,27,1273,76,124.67653980301617,0.5,16.75,2.638984663527751,34.56794597368421,1.8642046451568604,0.05,772
0.9750530000000001,70.88091723798955,5,46,4.731177293014771,0.9462354586029542,1,27,1313,80,144.07308114204255,0.4,16.4125,14.17618344759791,34.680556862500005,2.0583770275115967,0.05,812
0.9736279999999999,18.80634358552409,2,49,1.8660439435714917,0.9330219717857459,1,27,1388,84,74.67653980301618,0.0,16.523809523809526,9.403171792762045,35.313621261904764,2.052734136581421,0.05,887
0.9723550000000001,14.06906830261801,29,51,23.695056602820287,0.8170709173386306,1,27,1455,88,582.3903700505512,0.7931034482758621,16.53409090909091,0.48514028629717276,34.96338507954545,1.8803699016571045,0.05,954
0.970968,32.47172751722792,24,54,20.66038993604071,0.8608495806683628,1,27,1528,92,517.0872364158923,0.625,16.608695652173914,1.3529886465511634,35.34713495652174,2.1773223876953125,0.05,1027
0.9699610000000001,0.6910158101317923,5,56,4.798173903881406,0.9596347807762813,1,27,1581,96,149.0833165394756,0.8,16.46875,0.13820316202635846,35.89161576041667,1.9494850635528564,0.05,1080
0.9689350000000001,2.3748165897983573,3,58,2.9320900378387034,0.9773633459462344,1,27,1635,100,99.35865857841877,0.6666666666666666,16.35,0.7916055299327858,35.47393023000001,2.245981216430664,0.05,1134
0.9680419999999998,1.7534800440871865,5,60,4.799378051675284,0.9598756103350569,1,27,1682,104,149.68024763200816,0.6,16.29,0.3506960088174373,36.00227853,2.2017974853515625,0.05,1181
0.967168,20.716496772265963,29,61,23.471826518059203,0.809373328208938,1,27,1728,108,562.7942166247843,0.6896551724137931,16.0,0.7143619576643435,35.18269744,1.934967279434204,0.05,1227
0.966389,19.232219205197648,6,63,5.331323506752382,0.8885539177920636,1,27,1769,112,154.0981987031738,0.6666666666666666,15.86,3.205369867532941,35.04514614,2.436964511871338,0.05,1268
