rollout/tel_mean,time/fps,rollout/ho_prob,rollout/ep_rew_mean,rollout/exploration_rate,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/tran_mean,time/time_elapsed,train/learning_rate,train/n_updates,train/loss
0.0009886526307884027,13,0.7931034482758621,52.673458749999995,0.99772,30.0,120,4,0.7980323809302328,8,,,
2.634744102876413,13,0.8275862068965517,67.454589875,0.9954400000000001,30.0,240,8,0.9333294873275692,17,,,
2.101385042484173,13,0.4482758620689655,66.06224825,0.9935400000000001,28.333333333333332,340,12,0.7353410238464627,24,,,
6.457186594825462e-05,13,0.625,57.850918875,0.9918109999999999,26.9375,431,16,0.6666666666666666,31,,,
0.003361242567609089,12,0.8333333333333334,62.43300849999999,0.990177,25.85,517,20,0.9666666666666667,39,0.05,16,1.757569670677185
0.04534798689967851,11,0.8275862068965517,63.106247708333335,0.9881059999999999,26.083333333333332,626,24,0.9654481782358634,54,0.05,125,1.1015803813934326
0.006456706482340173,10,0.6,63.089720428571425,0.9861489999999999,26.035714285714285,729,28,0.9827409996421279,68,0.05,228,1.5527172088623047
5.373062105626425,10,0.4482758620689655,62.61034575,0.984002,26.3125,842,32,0.8319423184083444,80,0.05,341,1.3408033847808838
3.8333672409178954,10,0.5517241379310345,63.157292472222224,0.981931,26.416666666666668,951,36,0.9635019714860413,92,0.05,450,1.8721967935562134
2.550077574981439,10,0.896551724137931,62.2833821,0.9801070000000001,26.175,1047,40,0.9333280650579829,102,0.05,546,1.4845311641693115
2.6455745569194726,10,0.7586206896551724,65.48980529545454,0.9778649999999999,26.477272727272727,1165,44,0.782441700915161,115,0.05,664,1.6121633052825928
0.0010482272407149377,10,0.8275862068965517,65.03430339583333,0.975889,26.4375,1269,48,0.7000000000000001,126,0.05,768,1.8613464832305908
5.165053622207131,10,0.3157894736842105,64.59247421153847,0.9737990000000001,26.51923076923077,1379,52,0.8491090734429103,137,0.05,878,1.6568669080734253
0.024632863087068337,9,0.896551724137931,62.10952051785715,0.971766,26.535714285714285,1486,56,0.7333333333333334,149,0.05,985,1.4468839168548584
0.42104178665313063,9,0.6551724137931034,63.16535913333334,0.969695,26.583333333333332,1595,60,0.96662323280639,160,0.05,1094,1.5080406665802002
0.010051147871822175,9,0.7931034482758621,62.9778536875,0.967415,26.796875,1715,64,0.9666632295476267,173,0.05,1214,1.3426165580749512
5.918148239521903e-10,9,0.7586206896551724,62.11459082352941,0.965192,26.941176470588236,1832,68,0.8663681545283429,185,0.05,1331,1.3719124794006348
0.04369900313777354,9,0.5357142857142857,61.535016000000006,0.9630639999999999,27.0,1944,72,0.7999877586447286,197,0.05,1443,1.1474461555480957
0.007449414768517586,9,0.7272727272727273,61.9796825263158,0.960917,27.06578947368421,2057,76,0.7988882287988357,210,0.05,1556,1.3918448686599731
0.003356606281825345,9,0.7931034482758621,62.030414674999996,0.9586370000000001,27.2125,2177,80,0.9333298715545046,224,0.05,1676,1.5139473676681519
0.030348316799247568,9,0.8620689655172413,61.604909357142866,0.956433,27.297619047619047,2293,84,0.752938738344104,237,0.05,1792,1.4502638578414917
1.1330490424781516,9,0.6551724137931034,61.62560219318182,0.954381,27.28409090909091,2401,88,0.9824334918912587,249,0.05,1900,1.3638358116149902
4.804895736598419,9,0.7241379310344828,62.18129347826087,0.9522339999999999,27.32608695652174,2514,92,0.8666265817758633,261,0.05,2013,1.4629603624343872
1.2998887325152924,9,0.7142857142857143,63.262942145833335,0.9501060000000001,27.354166666666668,2626,96,0.7000000000000001,273,0.05,2125,1.2761194705963135
0.7073755947661503,9,0.896551724137931,62.09027303,0.9480159999999999,27.36,2736,100,0.999078091440106,286,0.05,2235,1.373215675354004
0.004378807444309583,9,0.8947368421052632,62.46877937,0.9459259999999999,27.26,2846,104,0.9999993166504991,298,0.05,2345,1.2919676303863525
0.0017612811826134976,9,0.7142857142857143,61.26952622000001,0.943912,27.12,2952,108,0.8175175081270708,309,0.05,2451,1.1080085039138794
0.4779813248725338,9,0.8260869565217391,62.682087549999984,0.941746,27.26,3066,112,0.7198657858076589,321,0.05,2565,1.3624982833862305
0.01169798157477237,9,0.8461538461538461,63.13558492,0.939523,27.52,3183,116,0.9333332538232995,334,0.05,2682,1.7878313064575195
1.1213557579712206,9,0.7586206896551724,62.07652436,0.937243,27.86,3303,120,0.9666631379187062,347,0.05,2802,1.2957980632781982
0.8662893258646063,9,0.9230769230769231,61.458755769999996,0.93502,27.94,3420,124,0.9663575940570164,360,0.05,2919,1.1868903636932373
5.599076721460028,9,0.6296296296296297,61.54817137999999,0.9327780000000001,28.09,3538,128,0.8669218313188144,377,0.05,3037,1.1852549314498901
0.9774366648120373,9,0.6896551724137931,62.60760955,0.9304979999999999,28.16,3658,132,0.9333325349407492,394,0.05,3157,1.3547725677490234
0.0318239459835232,9,0.6666666666666666,62.38313083999999,0.928712,28.01,3752,136,1.0,408,0.05,3251,1.3076320886611938
0.7892092773711157,9,0.7241379310344828,62.348029020000006,0.926717,28.1,3857,140,0.9666665603060807,426,0.05,3356,1.3536162376403809
0.021963451772457815,8,0.7586206896551724,59.52811427999999,0.9251780000000001,27.73,3938,144,0.95107677337051,443,0.05,3437,1.278828740119934
4.286038637861163e-05,8,0.7241379310344828,60.40224022999999,0.923107,27.78,4047,148,0.7000052802664736,459,0.05,3546,1.2172448635101318
1.3391669326456537,8,0.6206896551724138,60.75629404,0.920922,27.83,4162,152,0.8297429201361194,474,0.05,3661,1.2677059173583984
